"n","beta","err","n_rep","bias","emp_se","cov_wald","cov_pct","cov_bt","len_wald","len_pct","len_bt","time_wald","time_pct","time_bt","pct_fail","bt_fail"
10,0,"normal",495,0.00703532252055921,0.953401032898496,0.912778904665314,0.860040567951318,0.981744421906694,3.63921537596176,3.26558577613508,7.37772661570241,0.000155555555555555,0.352674747474747,34.2760343434343,0.00404040404040404,0.00404040404040404
10,0,"t3",500,0.0229731008895971,1.0273937783008,0.932,0.87,0.988,3.36411066925189,3.00057062692221,9.649287162465,0.00012,0.315616,31.446598,0,0
10,0.5,"normal",500,0.0381223600326951,0.956819134275993,0.911823647294589,0.865731462925852,0.981963927855711,3.61902799485425,3.18795447704594,7.27478243016602,0.00017,0.349674,34.680804,0.002,0.002
10,0.5,"t3",500,0.00045978676461792,0.93708129893754,0.94,0.892,0.98,3.24174153695573,2.85118684588462,7.68357900822481,0.000118,0.3199,31.178698,0,0
10,2,"normal",500,-0.00729383294697231,0.939855296603873,0.917835671342685,0.861723446893788,0.987975951903808,3.63088078597141,3.21836156274033,7.49070517290699,0.000106,0.326514,31.934064,0.002,0.002
10,2,"t3",500,-0.00720924254807229,1.04886093481053,0.89,0.824,0.97,3.12025964932245,2.69969260063183,6.88999640434297,0.000132,0.325838,31.811622,0,0
50,0,"normal",500,0.0210987573804384,0.420103653511258,0.942,0.934,0.948,1.56808112154513,1.55730093396237,1.66644983756933,0.000128,0.345376,34.811178,0,0
50,0,"t3",500,-0.0221061383305625,0.415548318254732,0.944,0.9,0.91,1.52293856626646,1.50216707859033,1.70843553733516,0.000122,0.350202,35.275044,0,0
50,0.5,"normal",500,-0.00314812078710072,0.424040840696797,0.924,0.924,0.938,1.56772069159127,1.55328429415475,1.6625098962079,0.000134,0.345124,34.653416,0,0
50,0.5,"t3",500,-0.00668068852375454,0.396138236544502,0.946,0.932,0.93,1.49862420498035,1.47405449878341,1.66639227423773,0.000118,0.344406,34.65342,0,0
50,2,"normal",500,-0.00594391488396092,0.406885503599774,0.938,0.93,0.938,1.56509553569762,1.56105460642058,1.65429593798815,0.00012,0.343632,34.517408,0,0
50,2,"t3",500,-0.0151353649030118,0.408086672255645,0.942,0.93,0.936,1.48691655840679,1.47116134399985,1.70510783471438,0.000126,0.342678,34.130332,0,0
500,0,"normal",500,-0.00841724649309405,0.122858517263599,0.964,0.96,0.962,0.496755683852074,0.497731274633896,0.504469754306415,0.000142,0.45516,46.395976,0,0
500,0,"t3",500,0.00393463816287079,0.121764168592716,0.944,0.942,0.942,0.481779383693049,0.48334109166474,0.493513866276187,0.000106,0.432902,44.117928,0,0
500,0.5,"normal",500,-0.00311495618376266,0.129555712169918,0.948,0.944,0.948,0.495750694489629,0.495879689161823,0.504209272105548,0.000152,0.43333,44.235724,0,0
500,0.5,"t3",500,-0.00964440799514012,0.122883052735286,0.95,0.944,0.944,0.481022933895064,0.482466545858847,0.490589446769939,0.00011,0.445688,44.809776,0,0
500,2,"normal",500,0.00325383137802487,0.129818571511474,0.946,0.95,0.946,0.495793551380113,0.495333378767851,0.50392638418821,0.000106,0.438884,44.591622,0,0
500,2,"t3",500,0.00328655000819315,0.120790731707029,0.958,0.958,0.954,0.487629308940402,0.48639809419109,0.503856161227841,0.000112,0.430248,42.873206,0,0
